track_id,dynamic_gene_rows_raw,dynamic_gene_rows_clean,dynamic_gene_rows_removed_housekeeping,removed_housekeeping_genes,marker_gene_n_after_filter,edge_rows_raw,edge_rows_clean,edge_rows_removed_housekeeping
__GLOBAL__,8160,6760,312,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,,1671337.0,1630091.0,41246.0
Track_007,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_008,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_011,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_018,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_019,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_020,272,0,0,,0.0,,,
Track_022,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_029,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_035,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_038,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_048,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_049,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_053,272,0,0,,0.0,,,
Track_054,272,0,0,,0.0,,,
Track_055,272,0,0,,0.0,,,
Track_060,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_063,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_064,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_065,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_066,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_067,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_070,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_071,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_074,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_075,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_076,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_077,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_080,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_084,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
Track_090,272,260,12,FOS;GAPDH;HSP90AA1;HSPA1A;HSPA1B;HSPB1;JUN;LDHA;LDHB;PGK1;PKM;TUBB3,50.0,,,
