gene,found,matched_index,var_name,candidate
Ccl2,True,19793,Ccl2,Ccl2/Ccr2-Ackr1 blockade
Ccr2,True,17078,Ccr2,Ccl2/Ccr2-Ackr1 blockade
Ackr1,True,1537,Ackr1,Ccl2/Ccr2-Ackr1 blockade
Spp1,True,8427,Spp1,Spp1-Cd44 blockade
Cd44,True,3022,Cd44,Spp1-Cd44 blockade
Vegfa,True,28118,Vegfa,Vegfa-Flt1/Kdr blockade
Flt1,True,9270,Flt1,Vegfa-Flt1/Kdr blockade
Kdr,True,8151,Kdr,Vegfa-Flt1/Kdr blockade
Hmox1,True,14554,Hmox1,Ferroptosis down
Fth1,True,29678,Fth1,Ferroptosis down
Slc7a11,True,4477,Slc7a11,Ferroptosis down
Gpx4,True,17916,Gpx4,Ferroptosis down
Col1a1,True,19983,Col1a1,Repair-ECM up
Col3a1,True,296,Col3a1,Repair-ECM up
Fn1,True,506,Fn1,Repair-ECM up
Spp1,True,8427,Spp1,Repair-ECM up
Vim,True,1899,Vim,Repair-ECM up
Apoe,True,11515,Apoe,Repair-ECM up
Postn,True,4520,Postn,Repair-ECM up
Timp1,True,30519,Timp1,Repair-ECM up
